Wavelength (nm),Curve-1_E (s.u),Curve-2_E (s.u),Curve-3_E (s.u),Curve-4_E (s.u),Curve-5_E (s.u),Curve-6_E (s.u),Curve-7_E (s.u),Curve-8_E (s.u),Curve-9_E (s.u),Curve-10_E (s.u)
386.654,377.619,421.855,475.097,454.922,451.245,506.426,594.867,537.024,409.362,572.216
386.825,513.159,441.935,543.779,612.467,625.818,546.541,602.177,586.293,539.011,700.45
386.996,445.356,622.645,474.316,551.917,618.229,582.275,429.636,573.321,489.694,504.652
387.167,501.243,501.761,544.523,384.647,485.347,591.369,624.198,583.09,531.671,393.104
387.338,711.991,656.542,768.424,599.257,758.218,677.045,727.335,800.091,719.361,785.912
387.51,776.506,755.579,751.083,896.181,831.896,892.099,914.228,826.606,969.055,566.712
387.681,804.235,935.009,772.346,883.142,792.449,856.373,791.943,862.463,862.282,890.802
387.852,859.345,730.059,764.184,667.007,720.098,780.102,672.503,725.304,662.524,726.178
388.023,725.164,640.501,444.238,791.14,691.367,724.579,823.606,756.12,689.523,788.544
388.194,727.273,639.6,646.536,802.529,536.524,703.756,680.019,830.657,721.732,583.014
388.366,740.975,861.802,988.218,776.269,790.347,778.523,879.72,798.896,1012.95,922.183
388.537,1033.36,1216.27,1138.02,1184.1,1011.27,1217.91,1140.08,864.107,1231.43,1237.52
388.708,754.865,762.999,891.338,901.665,842.39,735.128,828.002,840.676,890.256,979.559
388.879,868.899,959.511,787.644,865.892,740.029,983.67,795.813,1023.96,817.478,813.054
389.05,802.882,656.948,742.556,677.297,968.595,693.366,828.234,973.69,679.364,715.748
389.222,751.943,812.996,703.156,734.205,832.784,764.614,814.751,855.622,842.232,909.574
389.393,571.497,564.256,531.397,560.276,627.51,528.948,565.672,533.228,669.628,674.065
389.564,531.167,479.261,559.653,622.16,493.232,543.68,580.148,624.23,478.261,557.833
389.735,476.33,551.456,476.752,451.397,528.074,751.945,502.798,572.888,531.805,536.518
389.906,747.76,703.202,460.49,609.508,638.558,648.261,633.348,444.29,669.816,694.757
390.078,458.862,550.023,546.309,523.53,425.812,470.969,537.191,567.102,422.214,383.095
390.249,531.892,529.018,598.104,354.064,481.058,470.49,387.01,436.539,405.158,397.013
390.42,772.92,829.924,732.066,794.965,462.903,599.384,779.062,634.007,584.583,610.745
390.591,576.864,554.354,499.389,542.673,532.307,517.881,557.756,623.997,521.746,536.51
390.763,531.257,482.929,567.348,523.065,318.617,511.904,569.137,686.586,459.389,462.288
390.934,469.224,497.309,566.133,439.388,460.369,389.318,283.381,496.094,431.141,428.127
