Wavelength (nm),Curve-1_E (s.u),Curve-2_E (s.u),Curve-3_E (s.u),Curve-4_E (s.u),Curve-5_E (s.u)
646.688,731.594,758.905,793.339,743.163,753.851
646.859,791.689,806.814,810.777,798.914,807.924
647.03,858.591,836.373,894.117,865.207,859.653
647.201,947.034,917.424,885.266,904.386,900.063
647.372,974.252,981.194,963.974,966.27,973.051
647.543,990.8,974.948,989.175,1000.7,980.164
647.714,993.555,1040.12,1025.81,1039.39,1011.66
647.885,1074.25,1058.6,1061.95,1055.42,1086.8
648.056,1124.24,1102.03,1124.47,1103.77,1104.98
648.227,1184.09,1206.4,1178.56,1185.57,1206.9
648.398,1185.22,1196.05,1232.67,1180.95,1217.49
648.569,1212.82,1254.74,1266.88,1210.83,1247.25
648.74,1290.58,1285.61,1302.49,1287.55,1278.52
648.911,1345.01,1344.35,1354.45,1325.19,1335.83
649.082,1406.94,1405.45,1421.95,1429.17,1410.06
649.253,1571.22,1559.85,1592.85,1534.63,1574.35
649.424,1742.45,1709.13,1704.27,1730.18,1702.23
649.595,1897.83,1889.76,1888.8,1868.69,1859.22
649.766,2021.74,2013.45,2026.08,2026.93,1962.08
649.937,2104.64,2092.88,2062.14,2063.81,2080.23
650.108,2119.32,2129.74,2116.25,2114.44,2083.21
650.279,2200.68,2198.58,2201.52,2124.16,2161.3
650.45,2199.31,2223.65,2247.08,2165.33,2222.09
650.621,2313.75,2303.28,2311.93,2285.6,2279.25
650.792,2426.56,2441.07,2419.61,2451.2,2407.33
650.963,2492.22,2501.18,2518.23,2518.67,2480.79
651.134,2565.54,2598.7,2562.28,2560.88,2523.77
651.305,2626.47,2667.23,2657.66,2692.35,2589.59
651.476,2854.11,2897.34,2853.93,2884.93,2863.79
651.647,3165.97,3141.93,3174.19,3093.01,3094.44
651.818,3342.35,3440.7,3364.66,3387.2,3347.7
651.989,3882.92,3922.14,3918.73,3908.13,3836.74
652.159,4442.75,4499.89,4487.86,4433.16,4492.19
652.33,5109.38,5113.44,5168.74,5126.27,5064.25
652.501,5771.68,5802.21,5752.81,5761.87,5776.23
652.672,7145.37,7209.88,7155.46,7226.43,7233.61
652.843,10339.6,10284.5,10341.4,10341.9,10362.6
653.014,16377.5,16379.5,16378.4,16378.3,16378.0
653.185,16377.5,16379.5,16378.4,16378.3,16378.0
653.356,16377.5,16379.5,16378.4,16378.3,16378.0
653.527,16377.5,16379.5,16378.4,16378.3,16378.0
653.698,16377.5,16379.5,16378.4,16378.3,16378.0
653.869,16377.5,16379.5,16378.4,16378.3,16378.0
654.04,16377.5,16379.5,16378.4,16378.3,16378.0
654.211,16377.5,16379.5,16378.4,16378.3,16378.0
654.382,16377.5,16379.5,16378.4,16378.3,16378.0
654.553,16377.5,16379.5,16378.4,16378.3,16378.0
654.724,16377.5,16379.5,16378.4,16378.3,16378.0
654.895,16377.5,16379.5,16378.4,16378.3,16378.0
655.066,16377.5,16379.5,16378.4,16378.3,16378.0
655.237,16377.5,16379.5,16378.4,16378.3,16378.0
655.408,16377.5,16379.5,16378.4,16378.3,16378.0
655.579,16377.5,16379.5,16378.4,16378.3,16378.0
655.75,16377.5,16379.5,16378.4,16378.3,16378.0
655.921,16377.5,16379.5,16378.4,16378.3,16378.0
656.091,16377.5,16379.5,16378.4,16378.3,16378.0
656.262,16377.5,16379.5,16378.4,16378.3,16378.0
656.433,16377.5,16379.5,16378.4,16378.3,16378.0
656.604,16377.5,16379.5,16378.4,16378.3,16378.0
656.775,16377.5,16379.5,16378.4,16378.3,16378.0
656.946,16377.5,16379.5,16378.4,16378.3,16378.0
657.117,16377.5,16379.5,16378.4,16378.3,16378.0
657.288,16377.5,16379.5,16378.4,16378.3,16378.0
657.459,16377.5,16379.5,16378.4,16378.3,16378.0
657.63,16377.5,16379.5,16378.4,16378.3,16378.0
657.801,16377.5,16379.5,16378.4,16378.3,16378.0
657.972,16377.5,16379.5,16378.4,16378.3,16378.0
658.143,16377.5,16379.5,16378.4,16378.3,16378.0
658.314,16377.5,16379.5,16378.4,16378.3,16378.0
658.485,16377.5,16379.5,16378.4,16378.3,16378.0
658.656,16377.5,16379.5,16378.4,16378.3,16378.0
658.827,16377.5,16379.5,16378.4,16378.3,16378.0
658.998,16377.5,16379.5,16378.4,16378.3,16378.0
659.168,16377.5,16379.5,16378.4,16378.3,16378.0
659.339,16377.5,16379.5,16378.4,16378.3,16378.0
659.51,16377.5,16379.5,16378.4,16378.3,16378.0
659.681,16377.5,16379.5,16378.4,16378.3,16378.0
659.852,16377.5,16379.5,16378.4,16378.3,16378.0
660.023,16377.5,16379.5,16378.4,16378.3,16378.0
660.194,16377.5,16379.5,16378.4,16378.3,16378.0
660.365,16377.5,16379.5,16378.4,16378.3,16378.0
660.536,16377.5,16379.5,16378.4,16378.3,16378.0
660.707,16377.5,16379.5,16378.4,16378.3,16378.0
660.878,16377.5,16379.5,16378.4,16378.3,16378.0
661.049,16377.5,16379.5,16378.4,16378.3,16378.0
661.22,16377.5,16379.5,16378.4,16378.3,16378.0
661.391,16377.5,16379.5,16378.4,16378.3,16378.0
661.562,16377.5,16379.5,16378.4,16378.3,16378.0
661.732,16377.5,16379.5,16378.4,16378.3,16378.0
661.903,16377.5,16379.5,16378.4,16378.3,16378.0
662.074,16377.5,16379.5,16378.4,16378.3,16378.0
662.245,16377.5,16379.5,16378.4,16378.3,16378.0
662.416,16377.5,16379.5,16378.4,16378.3,16378.0
662.587,16377.5,16379.5,16378.4,16378.3,16378.0
662.758,16377.5,16379.5,16378.4,16378.3,16378.0
662.929,16377.5,16379.5,16378.4,16378.3,16378.0
663.1,16377.5,16379.5,16378.4,16378.3,16378.0
663.271,16377.5,16379.5,16378.4,16378.3,16378.0
663.442,16377.5,16379.5,16378.4,16378.3,16378.0
663.613,16377.5,16379.5,16378.4,16378.3,16378.0
663.784,16377.5,16379.5,16378.4,16378.3,16378.0
663.954,16377.5,16379.5,16378.4,16378.3,16378.0
664.125,16377.5,16379.5,16378.4,16378.3,16378.0
664.296,16377.5,16379.5,16378.4,16378.3,16378.0
664.467,16377.5,16379.5,16378.4,16378.3,16378.0
664.638,16377.5,16379.5,16378.4,16378.3,16378.0
664.809,16377.5,16379.5,16378.4,16378.3,16378.0
664.98,16377.5,16379.5,16378.4,16378.3,16378.0
665.151,16377.5,16379.5,16378.4,16378.3,16378.0
665.322,16377.5,16379.5,16378.4,16378.3,16378.0
665.493,16377.5,16379.5,16378.4,16378.3,16378.0
665.664,16377.5,16379.5,16378.4,16378.3,16378.0
665.835,16377.5,16379.5,16378.4,16378.3,16378.0
666.005,16377.5,16379.5,16378.4,16378.3,16378.0
666.176,16377.5,16379.5,16378.4,16378.3,16378.0
666.347,16377.5,16379.5,16378.4,16378.3,16378.0
666.518,16377.5,16379.5,16378.4,16378.3,16378.0
666.689,16377.5,16379.5,16378.4,16378.3,16378.0
