?	Curve-1_E	Curve-2_E	Curve-3_E	Curve-4_E	Curve-5_E	Curve-6_E	Curve-7_E	Curve-8_E	Curve-9_E	Curve-10_E
nm	s.u	s.u	s.u	s.u	s.u	s.u	s.u	s.u	s.u	s.u
373.816	3.26479	207.621	122.248	409.881	6.36539	122.365	210.488	103.202	199.816	171.27
373.987	20.1234	45.6763	15.9742	8.06671	9.80116	10.3049	0	54.2205	13.4234	3.79197
374.158	385.53	354.648	328.279	207.084	436.749	343.518	382.58	131.459	291.001	242.869
374.329	4.3214	20.044	5.36053	22.8482	0	38.1936	9.54885	16.0271	22.7436	14.4775
374.5	443.246	488.097	199.702	361.523	586.768	371.057	560.358	893.655	646.237	285.645
374.671	498.485	218.975	581.281	335.765	497.691	82.2428	682.151	473.233	584.428	751.913
374.842	919.803	384.006	516.549	688.844	276.339	477.302	436.111	694.438	627.914	811.388
375.014	543.31	484.443	676.059	729.023	598.579	156.051	552.622	513.071	435.932	699.944
375.185	467.363	392.213	957.195	793.874	998.629	680.05	790.367	464.136	408.551	342.915
375.356	360.845	462.432	595.566	621.711	198.707	456.223	443.041	666.119	591.221	421.26
375.527	12.8819	24.2354	29.2128	16.117	20.5821	39.9274	0	12.8457	17.3777	41.3335
375.698	119.407	433.807	35.1804	422.399	44.6183	112.908	289.064	64.1628	320.397	262.46
375.869	6.94683	20.2118	9.62437	25.4736	12.1894	24.7081	8.62442	0	0	25.841
376.041	856.254	731.527	319.348	457.01	588.524	797.516	454.209	624.985	538.226	541.482
376.212	652.161	384.85	397.411	464.078	434.849	325.522	365.752	372.023	271.026	195.038
376.383	815.417	680.076	216.665	851.428	772.279	758.921	450.481	274.051	685.439	694.24
376.554	20.2217	26.933	14.9803	31.9218	3.34588	0	26.8145	10.6282	38.0977	0.886556
376.725	10.4903	33.8587	7.43342	28.471	0	36.7166	13.8063	20.8306	23.9973	25.8346
376.896	19.6338	15.6956	24.4959	4.57345	7.67324	23.4687	24.3152	0	21.1259	5.76004
377.068	15.8216	14.8871	38.4331	51.5517	0	7.36852	28.968	20.7007	24.4134	21.8817
377.239	16.1533	13.0343	27.2959	21.2999	7.7426	29.8186	8.54666	28.9513	17.6454	25.7633
377.41	288.185	264.731	364.904	446.45	605.799	394.991	366.195	445.699	493.644	295.495
377.581	350.474	957	497.025	1192.34	457.91	517.01	396.883	512.086	616.985	796.95
377.752	487.914	547.218	231.911	350.268	361.879	278.193	214.623	209.549	232.014	385.971
377.923	23.3085	12.8167	37.7279	32.278	33.4663	27.4165	24.44	5.52303	25.8928	21.1766
378.095	248.936	409.674	273.665	193.822	261.22	347.959	280.809	290.282	179.444	306.935
378.266	381.226	240.27	249.845	194.701	344.957	206.388	340.649	334.426	381.776	384.201
378.437	170.741	331.508	456.627	490.864	153.545	209.369	331.434	205.996	506.139	202.218
378.608	367.554	388.982	196.987	418.157	417.144	290.477	440.392	459.594	248.61	207.838
378.779	27.7221	18.8687	17.2925	27.1343	29.4149	28.0071	25.0306	14.5788	23.2067	12.7561
378.95	410.617	464.988	341.164	418.528	482.64	275.401	465.117	280.743	398.541	248.862
