?	Raw_E	Curve-2_E	Curve-3_E	Curve-4_E	Curve-5_E	Curve-6_E	Curve-7_E	Curve-8_E	Curve-9_E	Curve-10_E
nm	s.u	s.u	s.u	s.u	s.u	s.u	s.u	s.u	s.u	s.u
387.338	471.121	333.912	540.924	554.935	389.368	263.893	375.7	408.326	376.693	404.853
387.51	500.408	388.938	536.888	393.62	137.763	449.448	501.596	459.383	536.059	493.508
387.681	361.071	435.941	514.905	451.122	609.291	322.075	462.488	498.078	361.144	569.31
387.852	482.903	593.887	371.222	340.419	280.795	492.684	420.419	403.784	391.61	447.13
388.023	452.512	475.668	335.197	432.311	469.055	313.225	370.68	422.806	400.895	397.557
388.194	471.53	391.535	555.586	415.314	443.189	501.161	374.289	443.335	457.651	415.738
388.366	508.806	601.727	517.911	336.345	566.891	544.233	425.925	287.844	547.1	499.239
388.537	724.64	597.473	674.8	605.253	389.982	530.549	502.65	586.801	494.011	821.068
388.708	646.635	438.619	473.407	495.402	468.351	559.862	481.378	610.062	528.046	620.34
388.879	548.184	466.862	463.254	472.713	432.772	520.114	486.608	489.074	458.175	374.541
389.05	552.7	428.778	387.805	402.902	402.58	370.186	468.482	458.051	379.714	487.249
389.222	387.66	379.056	432.328	336.682	474.633	290.586	379.632	389.41	368.929	484.751
389.393	311.712	316.353	219.788	253.023	237.003	316.319	269.839	186.184	193.941	163.388
389.564	425.721	138.52	365.12	248.141	266.589	335.426	335.5	204.849	192.074	394.476
389.735	259.197	92.1535	215.546	169.77	266.549	266.173	307.304	309.475	149.297	190.71
389.906	360.335	254.792	345.573	261.312	290.558	152.411	375.08	364.247	328.977	313.402
390.078	302.551	287.249	207.596	395.221	246.212	106.278	291.336	168.309	34.3707	343.047
390.249	172.514	140.002	227.771	182.902	147.043	212.808	234.861	187.826	189.647	144.489
390.42	279.465	227.44	133.935	201.389	551.034	369.916	101.301	388.366	371.937	321.018
390.591	353.821	82.436	275.374	124.003	160.827	270.304	258.005	175.12	152.333	292.521
390.763	232.086	195.438	265.13	373.011	181.294	263.493	195.991	288.275	160.962	236.395
390.934	241.805	191.278	267.139	274.796	210.638	275.997	115.747	143.598	178.248	292.466
391.105	380.615	368.579	123.998	418.62	282.802	362.71	193.408	401.322	340.174	385.583
391.276	246.469	226.98	276.972	253.598	130.836	182.396	323.847	127.589	50.1819	179.9
391.447	384.473	275.357	267.155	203.725	135.979	142.417	213.023	272.536	157.218	199.362
391.619	322.535	225.72	208.789	376.261	270.74	214.773	239.728	423.829	316.988	131.624
391.79	398.754	241.7	212.221	370.264	334.565	371.619	425.508	218.09	316.674	475.833
391.961	359.116	141.369	196.988	164.749	235.627	252.823	153.88	201.06	86.5712	133.902
392.132	303.67	156.662	113.028	291.044	314.122	245.974	195.464	208.474	402.826	287.213
392.303	316.774	205.174	125.419	343.583	249.967	228.568	278.186	322.333	257.895	326.838
392.475	355.19	268.217	219.832	237.542	196.145	253.728	165.921	201.753	273.124	200.557
392.646	346.457	175.816	262.504	245.174	171.028	192.299	275.949	172.985	271.355	206.296
392.817	264.382	190.269	227.803	207.186	270.279	168.972	240.272	249.565	188.937	166.749
392.988	251.128	293.726	290	250.987	262.941	235.707	195.403	314.416	360.311	294.021
393.159	314.009	248.266	332.477	250.207	163.7	209.147	145.132	134.403	139.098	159.936
393.331	229.463	323.751	290.486	305.276	251.328	241.966	209.05	280.047	182.548	272.695
393.502	292.178	200.274	165.722	213.082	212.498	228.424	255.531	218.797	212.971	158.177
393.673	116.486	169.524	221.722	225.079	173.252	290.282	115.323	222.267	79.7734	272.52
393.844	543.412	317.725	196.854	338.22	482.604	299.703	274.62	285.458	438.871	342.792
394.016	329.155	290.262	230.426	285.917	212.911	269.36	171.108	263.251	263.304	425.029
394.187	278.11	354.508	245.556	98.5315	294.882	303.195	322.913	231.729	249.729	211.219
394.358	270.242	210.644	175.919	263.51	157.298	123.336	126.321	270.678	182.036	253.982
394.529	335.587	202.445	168.805	193.617	290.003	409.781	184.299	196.619	269.246	257.663
394.7	305.056	316.986	167.842	229.622	250.937	214.734	249.855	200.471	187.24	276.742
394.872	385.934	305.855	281.68	239.177	206.751	182.808	299.608	368.574	256.716	319.546
395.043	335.341	276.979	252.626	251.701	249.675	300.862	327.984	368.688	130.116	276.157
395.214	440.291	416.469	342.709	386.726	299.311	330.959	343.065	314.804	412.111	385.683
395.385	447.074	455.174	424.08	417.933	332.906	488.246	579.912	321.007	514.694	433.911
395.557	496.28	575.209	557.598	384.376	518.256	489.868	396.725	442.787	434.903	527.073
395.728	596.769	539.311	502.768	575.502	589.377	396.136	426.591	494.652	532.077	547.082
395.899	862.471	808.295	718.343	772.74	742.967	708.2	799.983	722.399	696.623	731.647
396.07	770.078	720.752	686.192	652.618	517.123	703.466	648.213	740.701	724.933	795.094
396.241	1130.7	838.418	861.203	827.964	827.465	747.593	950.783	850.998	841.743	768.415
396.413	1122.16	887.822	1047.44	1081.32	962.159	830.86	731.266	1040.1	880.28	891.854
396.584	1293.16	985.443	1004.25	1031.85	876.001	1102.79	990.328	1000.07	1033.39	1046.57
396.755	1135.76	1158.55	1029.69	1043.88	1200.62	1045.05	974.099	975.817	963.669	1047.36
396.926	1140.95	1120.19	933.061	1039.71	942.065	1070.76	1253.16	1006.83	996.302	1011.78
397.098	1083.88	1020.14	863.307	1087.27	1025.97	1021.57	1029.29	1059.89	880.539	1010.23
397.269	986.941	845.737	776.929	749.151	906.334	867.692	864.437	960.245	693.814	892.08
397.44	682.891	492.38	699.416	620.73	516.547	678.305	657.078	576.483	596.265	622.707
397.611	534.522	567.017	392.983	637.441	518.727	572.502	487.303	597.231	604.379	540.395
397.783	339.705	309.532	218.385	365.791	275.971	312.463	314.096	240.135	374.797	264.833
397.954	294.165	252.066	317.378	241.97	245.798	224.135	314.817	166.03	342.654	312.538
398.125	277.681	242.763	111.914	271.794	239.209	173.39	142.917	280.858	275.458	239.103
398.296	231.284	121.626	219.352	195.862	289.573	232.874	375.221	304.938	215.653	257.473
398.467	323.244	209.025	261.448	251.724	205.685	169.236	145.883	235.588	170.925	332.89
398.639	261.887	326.048	321.213	308.385	289.994	278.294	329.009	262.248	230.924	292.474
398.81	303.296	195.138	232.138	331.948	257.456	212.227	288.908	256.84	159.931	165.916
398.981	335.312	247.88	259.385	147.084	152.487	281.894	255.286	354.982	357.873	310.895
399.152	282.888	208.501	225.639	277.009	206.219	241.164	264.257	284.79	338.024	223.96
399.324	217.853	271.514	256.313	130.868	234.89	332.068	271.262	242.266	200.947	266.493
399.495	259.159	286.489	277.5	358.845	251.893	294.751	296.301	287.971	245.276	247.27
399.666	261.159	371.903	289.046	219.18	210.571	264.076	280.136	225.91	280.046	366.88
399.837	439.549	156.249	270.048	346.675	287.685	135.796	306.586	268.919	305.296	338.482
400.009	280.359	243.055	210.388	325.518	249.424	287.513	231.726	300.404	350.565	303.617
400.18	255.247	178.073	161.603	245.159	182.485	190.864	189.689	230.747	233.135	293.14
400.351	305.373	284.697	226.538	302.977	250.349	195.831	308.472	258.02	273.328	209.219
400.522	200.916	241.099	282.91	221.605	193.6	265.365	273.821	269.196	279.47	257.648
400.694	350.503	331.711	323.238	239.043	273.518	231.054	151.803	241.761	298.762	287.682
400.865	204.957	141.719	193.776	177.809	187.163	192.749	160.222	248.341	359.89	166.981
401.036	272.213	265.386	193.355	291.812	235.083	191.038	205.198	251.189	198.671	171.298
401.207	208.777	295.397	239.291	218.931	187.756	217.291	200.752	156.459	216.03	233.295
401.379	218.96	168.038	312.522	190.419	174.57	213	242.194	292.837	250.859	183.327
401.55	209.989	142.631	244.214	151.126	250.211	222.973	218.072	143.689	209.058	271.6
401.721	265.275	263.624	325.761	126.207	100.358	292.041	235.611	289.814	201.48	82.6823
401.892	258.14	185.683	242.41	206.044	194.307	199.811	217.099	238.027	178.94	235.902
402.063	154.863	278.694	177.153	308.986	213.646	238.824	194.743	188.725	226.474	255.406
402.235	287.302	197.216	239.989	218.045	147.661	250.745	311.407	289.193	179.744	184.318
402.406	370.637	148.132	223.225	223.656	277.468	186.263	228.913	237.037	224.84	193.582
402.577	382.951	198.603	300.756	299.853	300.602	339.333	275.106	236.927	288.768	260.61
402.748	252.539	222.786	271.166	184.334	283.275	180.844	215.397	253.325	165.783	177.955
402.92	276.081	181.885	271.543	184.937	147.276	220.571	277.887	320.87	303.815	168.759
403.091	211.966	160.529	193.63	199.368	188.66	193.857	169.843	178.729	165.057	232.855
403.262	278.751	275.166	135.752	217.072	230.403	224.043	190.155	99.8567	149.944	164.73
403.433	196.541	192.727	176.223	133.1	257.897	248.875	255.069	214.15	222.232	294.128
403.605	374.726	235.238	292.565	301.094	307.193	273.939	311.795	236.525	310.385	341.977
403.776	286.863	203.592	187.227	259.988	153.69	242.394	234.876	171.236	172.954	158.304
403.947	352.273	270.767	254.573	139.241	245.866	314.982	229.004	310.538	180.342	197.555
404.118	305.744	387.409	243.992	275.938	281.556	314.937	268.367	269.766	268.193	195.606
404.29	327.027	285.119	191.298	260.859	197.261	282.101	223.13	345.286	284.589	177.061
404.461	291.183	230.468	201.058	268.131	259.625	427.407	232.804	283.927	207.855	292.137
404.632	299.287	302.707	225.402	226.953	297.87	237.775	296.223	273.272	285.056	233.515
404.803	216.42	249.293	293.91	189.869	240.096	247.432	251.952	239.005	273.269	247.941
404.975	393.318	244.8	308.583	246.686	272.266	289.668	230.003	237.3	284.781	175.388
405.146	241.555	238.781	178.737	229.723	204.308	218.484	213.7	180.486	201.141	262.318
405.317	255.038	433.591	282.949	238.242	268.127	320.353	295.272	264.892	269.96	294.478
405.488	257.925	230.547	238.781	315.66	257.713	353.339	186.585	345.606	307.443	309.299
405.66	366.538	322.683	281.622	300.855	252.795	245.188	324.589	341.26	278.186	271.782
405.831	327.549	334.504	254.706	209.738	330.821	311.798	206.358	316.713	347.63	245.05
406.002	304.072	297.671	293.387	238.463	356.816	331.129	371.022	280.638	337.538	255.517
406.174	370.456	305.802	375.302	381.253	397.504	322.145	426.812	336.044	302.663	377.209
406.345	447.432	291.489	302.647	296.979	321.401	337.628	312.623	407.41	242.861	267.512
406.516	377.852	239.231	236.031	224.851	313.462	313.044	384.265	401.559	336.95	349.121
406.687	318.361	278.423	352.122	352.376	283.603	314.465	291.236	323.645	271.924	271.536
406.859	404.208	235.116	290.992	277.12	276.366	332.584	225.202	280.86	384.465	348.522
407.03	316.436	256.661	316.627	264.707	322.311	280.397	240.45	286.755	282.75	356.344
407.201	244.91	323.169	277.592	227.648	261.427	226.505	246.756	185.496	287.663	348.627
407.372	344.67	407.522	353.806	254.596	362.59	316.52	349.009	389.258	268.669	365.038
407.544	407.135	244.851	314.172	247.689	222.738	184.319	361.764	299.706	332.664	258.547
407.715	318.238	243.652	333.994	311.131	327.922	260.505	262.878	221.159	272.393	276.427
407.886	375.748	348.515	318.004	320.554	266.278	284.09	352.543	361.75	291.886	273.253
408.057	466.403	434.291	410.422	410.703	390.404	484.141	351.105	414.365	377.191	488.137
408.229	695.612	635.406	510.906	696.148	539.309	598.791	632.572	563.047	607.1	727.86
408.4	939.365	826.191	824.162	835.189	796.361	862.471	890.002	744.939	788.583	852.342
408.571	1107.61	1038.28	1104.64	1015.48	1022.4	983.452	1075.24	1078.64	1034.02	1117.53
408.742	1369.74	1405	1318.68	1247.8	1260.11	1348.45	1177.94	1434.05	1329.62	1333.64
408.914	1951.51	1881.98	1698.48	1586.93	1596.42	1697.57	1629.27	1615.68	1707.67	1822.5
409.085	2272.79	2059.92	2119.52	2081.43	2005.06	2047.63	2009.42	2067.68	2163.81	2226.16
409.256	2628.47	2339.19	2237.69	2333.03	2245.62	2234.71	2181.45	2339.71	2315.69	2417.97
409.428	3189.56	2945.54	2956.34	2828.23	2759.76	2880.69	2848.17	2808.59	3029.98	3055.2
409.599	3541.76	3307.26	3178.62	3266.84	3119.55	3265.6	3231.77	3174.44	3220.92	3323.6
409.77	3582.52	3287.37	3191.13	3237.89	3085.55	3295.25	3258.63	3260.88	3206.27	3337.96
409.941	4074.5	3658.01	3723.63	3754.25	3612.33	3491.71	3516.37	3623.8	3587.23	3796.75
410.113	3936.19	3499.19	3559.4	3517.83	3450.07	3411.22	3559.79	3541.95	3636.13	3523.11
410.284	3390.69	2980.69	3150.94	3038.1	2881.12	3045.36	3055.36	2975.51	3045.3	3252.67
410.455	2151.19	1834.15	1802.13	1865.21	1758.15	1822.98	1790.17	1801.58	1790.72	1897.68
410.626	1329.45	1155.99	1112.22	1161.36	1007.41	1086.41	1171.99	1124.16	1111.12	1182.7
410.798	756.522	690.781	606.64	734.789	655.443	671.378	577.709	562.572	726.377	712.999
410.969	420.97	357.393	221.238	340.605	331.739	376.384	247.066	321.163	213.225	333.009
411.14	256.354	278.832	233.683	232.833	213.088	176.171	256.134	262.509	186.394	238.592
411.312	347.07	259.673	278.147	251.694	318.755	228.526	333.491	236.486	265.592	413.234
411.483	273.613	282.83	248.694	185.955	196.633	250.068	274.297	187.32	163.973	176.142
411.654	277.061	174.811	227.875	198.885	136.211	234.853	238.398	226.12	235.793	299.519
411.825	317.171	229.801	142.582	211.979	203.173	190.292	174.651	263.743	215.666	200.625
411.997	306.368	327.047	273.213	143.989	251.87	293.187	231.64	278.662	247.471	181.499
412.168	208.443	261.338	219.769	158.583	197.255	198.059	192.748	279.491	229.65	314.844
412.339	233.373	155.213	199.525	164.354	171.554	199.751	244.36	219.184	123.705	189.1
412.51	278.223	176.169	204.754	301.497	266.66	232.221	236.929	197.306	228.643	129.481
412.682	297.216	240.352	241.43	224.675	241.858	218.331	163.375	237.674	226.551	192.315
412.853	181.709	246.5	220.772	172.651	207.27	284.379	193.244	237.372	201.417	245.132
413.024	239.381	248.176	256.474	196.285	228.744	258.782	190.253	163.259	237.676	205.124
413.196	196.484	147.374	220.086	173.923	231.035	256.141	181.502	228.999	151.547	138.604
413.367	264.329	244.193	320.507	291.795	187.734	231.981	329.17	260.098	192.469	246.899
413.538	266.901	212.268	172.066	159.573	216.937	184.992	143.897	140.801	238.701	153.732
413.709	283.589	340.021	255.622	137.973	240.7	224.361	261.11	198.204	194.591	227.868
413.881	269.384	178.759	190.662	238.952	169.886	186.877	187.062	174.091	209.608	244.481
414.052	272.275	138.121	167.473	143.995	274.994	230.693	213.163	297.87	247.073	248.847
414.223	299.764	250.04	242.956	230.257	183.904	215.51	176.167	205.874	214.174	218.915
414.395	206.166	259.48	190.037	185.046	232.87	257.59	172.836	165.658	272.836	209.381
414.566	263.56	227.626	170.078	227.611	238.592	158.431	210.066	168.572	159.074	159.861
414.737	286.345	226.476	214.856	218.234	215.276	273.239	251.212	268.209	160.89	263.154
414.908	257.333	244.46	236.162	195.156	141.778	144.744	279.818	236.641	172.248	168.896
415.08	258.126	280.979	236.332	269.907	171.848	208.212	234.717	270.215	224.091	263.335
415.251	258.933	231.288	280.193	219.997	222.266	290.831	289.97	201.544	211.416	142.42
415.422	225.426	219.037	180.835	226.077	242.225	196.088	190.263	236.41	248.854	271.675
415.594	257.74	243.96	212.173	277.814	247.283	249.222	289.297	248.451	203.909	199.566
415.765	222.106	163.844	136.355	243.038	185.357	155.855	205.745	224.071	184.956	180.659
415.936	188.751	209.815	230.858	224.222	259.08	194.351	178.108	186.861	228.777	194.776
416.107	287.696	253.257	255.991	204.363	311.879	249.379	240.778	208.602	173.81	272.277
416.279	283.031	308.994	244.78	325.397	178.069	315.793	209.317	288.885	263.06	212.464
416.45	378.85	229.685	202.38	346.634	247.065	255.805	243.421	218.325	313.469	221.409
416.621	259.921	261.685	244.235	263.466	209.999	208.153	287.647	251.39	256.495	202.838
416.793	270.565	259.206	273.058	254.228	256.342	216.32	332.432	256.543	273.949	225.763
416.964	284.18	278.127	333.276	263.483	153.801	258.717	246.281	276.444	234.069	318.39
