?	Curve-1_E	Curve-2_E	Curve-3_E	Curve-4_E	Curve-5_E	Curve-6_E	Curve-7_E	Curve-8_E	Curve-9_E	Curve-10_E
nm	s.u	s.u	s.u	s.u	s.u	s.u	s.u	s.u	s.u	s.u
390.591	0	69.2987	139.989	202.112	201.27	113.122	44.4172	77.9763	151.79	61.1042
390.763	108.021	177.805	237.8	134.763	229.503	87.316	127.031	226.389	224.004	172.925
390.934	29.9886	156.04	188.704	252.686	124.323	121.135	131.785	157.615	188.15	80.7897
391.105	16.549	193.813	117.512	313.291	187.598	133.916	36.4116	200.514	214.283	185.49
391.276	179.488	83.1408	52.0168	119.438	72.1149	122.368	27.8597	139.88	110.075	119.953
391.447	88.6522	77.5148	138.287	220.181	179.515	121.929	69.3682	183.169	94.5546	98.8434
391.619	46.5788	112.034	20.0787	127.489	49.8711	65.7076	69.8305	224.748	42.369	204.711
391.79	299.102	264.133	148.659	177.147	154.668	194.586	276.982	332.904	224.543	262.949
391.961	36.1649	112.815	27.5887	32.9921	79.1056	0	0	79.649	96.5232	163.824
392.132	18.487	0	132.74	101.363	119.013	8.15823	130.611	225.132	129.822	0
392.303	137.379	139.643	152.917	31.1545	125.41	78.2766	204.348	230.885	180.826	178.534
392.475	175.532	52.4512	188.874	76.8876	262.886	160.508	69.1851	85.8916	66.6855	53.1956
392.646	192.959	112.8	96.3114	165.298	379.238	141.847	27.4857	201.152	235.06	111.695
392.817	198.581	133.456	93.9528	104.729	113.327	113.3	171.169	136.432	216.213	208.085
392.988	85.9427	250.353	108.078	32.4328	201.496	200.272	86.7138	169.281	40.6899	284.755
393.159	0	80.1337	3.37367	167.783	59.3022	114.088	150.377	6.54536	38.902	105.624
393.331	184.527	171.996	234.789	128.021	174.634	168.396	190.729	189.217	124.245	43.5045
393.502	193.898	145.536	122.679	171.119	224.711	135.111	134.015	145.527	139.368	103.277
393.673	120.425	103.256	103.116	154.53	184.06	149.745	144.374	225.666	142.622	187.578
393.844	209.682	145.3	283.466	63.8143	177.694	136.581	151.522	352.286	125.613	125.309
394.016	89.4634	86.3262	71.703	152.507	55.1358	221.325	81.355	103.966	0	170.682
394.187	231.258	199.748	156.533	185.397	130.398	250.121	155.206	155.431	229.328	125.605
