?	Curve-1_E	Curve-2_E	Curve-3_E	Curve-4_E	Curve-5_E	Curve-6_E	Curve-7_E	Curve-8_E	Curve-9_E	Curve-10_E
nm	s.u	s.u	s.u	s.u	s.u	s.u	s.u	s.u	s.u	s.u
399.495	438.644	367.036	426.87	521.536	400.7	382.351	408.448	369.864	416.599	476.465
399.666	373.065	398.936	449.79	445.211	471.412	311.085	482.481	532.937	433.435	524.993
399.837	544.775	618.083	564.285	518.188	566.31	678.233	624.532	621.354	569.429	508.525
400.009	455.839	404.821	433.091	476.022	410.018	433.889	516.884	383.853	491.445	425.981
400.18	399.549	289.374	255.533	378.953	361.47	395.943	342.12	434.57	479.41	310.53
400.351	407.38	493.882	470.267	475.505	538.499	430.308	471.626	507.944	379.904	487.054
400.522	320.635	331.891	414.39	369.572	362.076	256.887	423.844	327.271	384.183	381.453
400.694	418.601	430.972	383.316	261.601	434.378	409.827	419.163	411.503	414.09	429.681
400.865	364.856	356.689	372.365	267.257	339.803	340.017	430.608	311.52	341.689	374.213
401.036	389.714	483.332	374.357	494.614	336.333	444.795	335.403	392.973	480.851	448.901
401.207	492.936	442.229	459.229	482.419	523.806	497.516	336.816	471.416	414.391	428.506
401.379	441.481	352.466	375.776	387.634	471.881	424.108	498.717	473.76	355.069	386.496
401.55	389.633	457.21	326.433	406.501	382.15	431.618	424.151	419.395	425.71	359.893
401.721	368.654	443.473	451.61	366.581	411.492	494.695	279.773	492.592	474.991	420.768
401.892	463.882	380.061	506.76	377.401	388.045	436.009	404.188	456.028	367.94	376.256
402.063	367.63	373.161	333.26	386.469	397.161	407.228	410.924	438.384	390.475	425.876
402.235	479.837	425.246	500.71	479.032	466.861	376.254	356.787	359.515	346.336	535.792
402.406	460.134	486.043	436.017	384.946	388.606	384.78	537.84	435.608	436.909	480.79
402.577	486.294	559.57	459.965	438.938	471.498	412.737	504.917	491.114	463.679	552.858
402.748	367.075	460.488	360.437	366.237	402.513	447.516	516.054	391.857	378.153	362.783
402.92	404.739	464.872	391.772	362.234	386.856	353.782	381.066	301.857	330.466	440.862
403.091	346.959	391.48	392.39	342.813	247.841	329.535	345.654	361.963	290.572	278.976
403.262	437.267	343.92	358.77	329.586	445.437	453.935	419.733	510.777	418.057	346.043
403.433	438.06	392.797	387.455	448.098	287.184	390.036	409.294	470.155	442.418	467.468
403.605	403.572	446.01	447.768	422.978	515.602	523.827	483.777	499.919	476.984	477.084
403.776	428.371	397.05	352.91	447.302	364.469	359.313	375.421	289.535	378.609	375.807
403.947	432.537	566.467	338.294	391.586	299.157	410.352	431.458	445.049	453.345	469.491
404.118	504.289	485.982	439.841	536.306	467.763	370.74	418.835	522.679	410.293	523.803
404.29	494.609	491.468	489.543	357.934	473.311	492.394	372.984	429.907	446.263	476.301
404.461	464.145	394.224	503.201	518.234	517.9	529.839	500.018	483.156	451.768	501.422
404.632	409.928	484.612	461.004	438.248	423.302	457.552	447.804	536.934	551.527	468.674
404.803	395.358	380.689	407.694	389.078	454.905	462.856	359.259	443.861	384.199	437.867
404.975	312.032	341.347	419.834	417.693	425.687	345.783	433.042	403.678	424.048	331.59
405.146	309.676	439.962	417.135	426.172	371.471	411.22	371.731	330.146	395.609	502.829
405.317	559.557	465.968	551.386	574.686	481.429	445.742	467.286	556.286	581.483	566.924
405.488	475.057	472.196	494.74	516.52	452.091	477.547	414.423	475.768	464.387	437.614
405.66	523.865	459.409	423.488	440.247	456.418	363.259	450.65	422.867	479.67	499.41
405.831	617.633	490.557	623.64	520.477	441.167	482.074	487.684	351.431	414.142	497.269
406.002	424.117	445.627	463.08	488.369	452.64	515.866	329.036	481.1	537.441	540.16
406.174	510.048	539.009	495.547	637.56	605.349	557.952	527.019	506.216	469.924	515.996
406.345	536.192	631.46	539.898	609.661	475.066	676.648	566.32	554.878	484.205	565.37
406.516	557.694	468.874	504.071	467.465	544.993	499.453	503.802	526.317	517.199	553.403
406.687	557.742	494.782	548.032	486.699	524.168	459.866	527.508	397.998	509.49	540.13
406.859	510.6	546.644	482.389	580.677	521.199	548.654	482.344	545.584	482.983	519.251
407.03	497.652	454.511	580.363	573.392	492.809	574.481	590.249	566.421	526.337	506.619
407.201	465.603	480.658	449.185	479.26	424.183	422.277	429.761	493.087	475.302	498.172
407.372	605.087	512.595	523.463	548.65	559.954	560.139	609.5	463.495	473.832	432.383
407.544	413.973	557.29	425.712	435.008	515.188	377.346	478.429	434.254	473.442	380.894
407.715	483.044	468.185	516.404	554.814	505.98	576.733	509.248	521.164	514.633	398.507
407.886	616.914	526.432	645.626	509.093	498.444	553.38	532.636	526.577	553.946	559.144
408.057	759.14	678.183	665.215	662.994	689.003	667.485	694.816	708.179	609.475	727.286
408.229	1001.89	994.09	970.781	1011.87	949.055	990.139	1024.89	902.944	973.815	1080.37
408.4	1322.6	1108.99	1219.2	1283.69	1214.28	1212.17	1216.83	1174.56	1231.71	1237.32
408.571	1405.42	1328.7	1389.2	1447.62	1462.65	1322.8	1442.76	1424.89	1462.49	1337.17
408.742	1638.63	1708.1	1642.28	1762.51	1763.18	1657.39	1717.18	1672.16	1784.93	1778.84
408.914	2178.49	2212.15	2217.54	2184.5	2245.72	2293.95	2117.97	2151.82	2186.1	2193.61
409.085	2621.71	2609.49	2593.99	2626.69	2669.33	2683.58	2562.42	2625.91	2481.72	2383.6
409.256	2956.26	2873.42	2774.99	2736.3	2834.2	2952.13	2687.67	2907.81	2838.42	2956.37
409.428	3643.64	3682.75	3555.11	3571.6	3779	3502.62	3630.86	3692.22	3452.95	3606.63
409.599	3916.86	3931.51	3881.87	3839.84	4025.82	3968.67	3980.23	3820.28	4051.24	3875.02
409.77	4020.54	4163.93	4083.7	3934.19	4063.63	3911.38	3876.33	3992.03	3789.73	3991.45
409.941	4754.58	4734.17	4860.93	4674.42	4618.03	4677.81	4692.8	4681.8	4678.34	4784.09
410.113	4833.89	4935.02	4877.09	4762.44	4736.93	4648.63	4787.37	4853.75	4784.36	4858.24
410.284	4398.54	4587.4	4697.55	4435.86	4586.83	4574.76	4614.15	4473.07	4428.8	4540.53
410.455	2964.2	2966.77	3020.4	3023.14	3081.45	3089.06	3086.42	2843.25	3047.49	2885.86
410.626	2023.69	2090.85	2026.27	2023.87	2072.37	2209.18	2164.9	2015.02	2064.07	2056.01
410.798	1334.77	1390.48	1411.18	1302.27	1266.69	1255.24	1377.07	1272.14	1435.22	1380.87
410.969	592.02	555.6	660.445	571.53	698.303	665.069	605.903	632.039	604.339	620.083
411.14	402.929	449.637	403.406	431.466	431.022	367.361	462.373	368.997	461.471	420.836
411.312	537.867	510.389	493.044	543.446	448.51	521.567	494.88	548.804	441.426	446.444
411.483	360.607	484.923	381.472	457.161	449.884	402.062	382.348	448.399	431.263	375.795
