?	Curve-1_E	Curve-2_E	Curve-3_E	Curve-4_E	Curve-5_E	Curve-6_E	Curve-7_E	Curve-8_E	Curve-9_E	Curve-10_E
nm	s.u	s.u	s.u	s.u	s.u	s.u	s.u	s.u	s.u	s.u
399.152	324.866	325.855	302.304	312.344	333.527	352.52	306.943	363.28	324.212	425.54
399.324	460.419	385.655	256.837	347.904	385.771	310.212	322.378	339.817	536.37	345.191
399.495	314.89	284.029	385.01	446.683	453.082	318.485	346.967	355.613	408.565	456.876
399.666	396.544	449.026	334.674	498.777	384.153	421.258	433.435	456.196	394.314	323.643
399.837	515.184	493.453	683.586	447.143	497.736	462.218	408.48	322.15	552.021	507.11
400.009	440.086	453.1	463.047	467.991	418.396	291.271	355.726	512.461	477.982	408.069
400.18	273.796	452.719	350.786	347.811	336.705	274.642	326.353	346.365	324.387	364.883
400.351	326.847	365.212	420.272	425.215	272.655	459.812	436.038	395.4	474.63	425.439
400.522	387.74	306.186	185.34	280.336	377.147	380.413	281.304	306.519	398.182	327.178
400.694	371.341	391.731	417.323	348.074	450.377	399.537	392	340.169	297.666	407.802
400.865	341.816	339.113	319.54	246.553	332.821	322.608	343.05	319.439	318.622	276.416
401.036	340.904	224.721	309.441	366.603	417.066	348.16	275.871	426.42	405.211	354.896
401.207	402.24	338.792	379.195	421.656	298.728	290.473	300.356	450.584	444.107	245.352
401.379	453.694	329.731	366.928	318.837	502.722	424.288	391.782	419.827	286.423	409.468
401.55	415.743	392.785	405.998	330.105	378.896	233.498	313.393	374.286	263.578	246.462
401.721	338.061	432.175	373.619	379.818	321.517	372.914	382.046	290.526	429.28	368.2
401.892	364.338	403.49	414.801	397.716	421.779	354.258	404.804	384.3	378.613	331.217
402.063	363.519	352.426	424.032	412.999	326.563	382.88	281.256	443.755	368	400.309
402.235	236.054	353.945	357.538	355.903	375.093	394.775	268.732	359.73	408.86	349.229
402.406	430.517	427.277	355.274	361.545	266.673	460.578	351.893	446.415	428.275	345.554
402.577	338.009	476.885	401.547	422.924	419.563	404.545	443.073	358.343	412.218	483.274
402.748	278.369	323.492	355.324	275.444	335.894	358.459	364.668	395.979	334.497	348.109
402.92	429.31	385.428	292.61	277.308	270.991	327.868	354.484	339.33	359.996	302.969
403.091	327.807	296.603	287.207	365.808	335.891	325.553	277.718	305.606	358.78	358.353
403.262	270.097	424.179	253.866	331.604	320.697	373.226	372.492	356.394	439.005	450.774
403.433	301.234	376.157	453.585	380.068	303.637	321.494	358.103	342.724	349.187	406.144
403.605	374.896	336.496	418.503	432.875	386.489	290.86	350.338	381.514	357.73	403.256
403.776	293.856	409.912	310.415	316.453	393.138	413.57	333.898	285.954	356.679	326.581
403.947	345.959	336.754	368.596	387.696	343.688	441.331	401.644	357.139	324.52	362.342
404.118	303.095	401.369	405.738	510.438	376.117	383.546	420.49	392.976	406.044	455.857
404.29	398.589	455.002	498.319	381.239	460.029	408.297	330.634	293.165	379.145	443.837
404.461	384.014	403.155	379.221	445.595	388.86	455.453	340.698	410.2	394.967	438.933
404.632	371.854	373.114	427.991	426.861	363.316	327.864	484.905	405.063	411.564	445.837
404.803	368.825	329.389	355.847	319.512	319.299	385.087	374.783	443.624	436.42	436.999
404.975	414.498	354.817	364.49	386.182	391.793	286.233	344.076	383.882	432.168	364.129
405.146	321.603	412.919	335.498	491.1	364.711	353.398	334	473.835	322.374	449.967
405.317	467.557	444.41	477.321	426.505	498.962	424.586	394.289	519.296	436.113	470.262
405.488	471.178	359.572	324.99	411.104	435.961	458.463	386.917	414.722	373.976	453.846
405.66	387.421	414.842	336.787	488.379	380.404	468.812	391.185	469.574	525.581	486.632
405.831	380.449	390.075	409.644	413.424	482.734	425.537	423.675	413.582	473.183	412.782
406.002	425.863	464.035	396.157	465.092	490.232	426.903	420.817	427.837	478.995	411.286
406.174	430.087	483.951	451.81	537.395	478.046	533.326	490.655	520.559	499.388	428.76
406.345	501.007	505.934	428.157	551.733	430.326	451.632	417.289	409.22	480.348	399.035
406.516	538.91	554.23	422.172	476.392	470.363	529.597	481.942	458.239	519.392	472.26
406.687	331.088	415.255	448.19	450.901	443.962	549.401	527.636	540.283	394.719	443.41
406.859	475.89	464.296	476.11	423.142	544.517	489.86	505.654	475.26	424.864	441.483
407.03	438.891	464.452	512.086	462.339	612.636	445.907	448.724	446.599	456.751	546.96
407.201	482.994	376.493	466.367	343.021	447.626	458.366	446.614	465.967	383.823	440.387
407.372	565.872	458.106	527.474	497.487	584.945	450.312	535.977	540.098	413.766	479.203
407.544	441.154	418.525	457.438	426.692	434.443	452.512	418.448	415.354	453.757	363.854
407.715	365.955	349.026	361.634	406.183	422.454	382.402	371.938	444.957	323.23	372.32
407.886	461.682	605.548	428.822	563.505	398.193	502.525	458.628	506.798	458.271	489.946
408.057	603.673	631.642	547.569	623.704	572.876	627.639	660.266	587.137	712.715	580.531
408.229	899.398	994.378	846.818	887.781	945.039	893.147	1028.04	953.908	924.315	839.25
408.4	998.485	1092.67	1122.48	1075.06	1142.53	1161.29	1129.58	1082.3	1111.29	1075.71
408.571	1351.97	1283.09	1217.39	1284.15	1275.08	1228.28	1239.85	1351.74	1258.32	1162.99
408.742	1481.71	1606.05	1509.13	1555.65	1487.59	1553.88	1532.54	1573.43	1530.07	1676.21
408.914	2078.77	2070.09	1967.09	2078.15	1969.45	2042.12	2113.35	2087.47	2160.92	2059.18
409.085	2450.28	2359.88	2395.8	2561.26	2407.4	2496.63	2608.75	2404.38	2354.79	2383.83
409.256	2664.01	2650.96	2768.78	2872.04	2655.96	2692.87	2740.48	2741.97	2799.01	2675.49
409.428	3380.55	3453.23	3388.91	3354.16	3429.71	3334.84	3276.92	3389.33	3341.89	3481.95
409.599	3801.55	3784.24	3801.75	3725.81	3712.58	3726.33	3727.95	3752.9	3708.78	3729.89
